Institution Name,Product Name,State,Annual Fee,Rewards,is_student,accepts_itin,Reward_Type
360 Federal Credit Union,Platinum Reward,,,Cashback rewards; Travel-related rewards; Other rewards,FALSE,FALSE,Cashback
360 Federal Credit Union,Secure Classic,,,,FALSE,FALSE,General
360 Federal Credit Union,Business Rewards,,,Cashback rewards; Travel-related rewards; Other rewards,FALSE,FALSE,Cashback
360 Federal Credit Union,Traditional Classic,,,,FALSE,FALSE,General
Alabama State Employees Credit Union,Credit Card,AL,,Cashback rewards,FALSE,FALSE,Cashback
Align Credit Union,Rewards Prefered,,,Travel-related rewards; Other rewards,FALSE,FALSE,Travel
Ally Bank,Ally Platinum Mastercard_1,,,,FALSE,FALSE,General
Ally Bank,Ally Platinum Mastercard_2,,,,FALSE,FALSE,General
Ally Bank,Ally Everyday Cash Back Mastercard_1,,,Cashback rewards,FALSE,FALSE,Cashback
Ally Bank,Ally Everyday Cash Back Mastercard_2,,,Cashback rewards,FALSE,FALSE,Cashback
Ally Bank,Ally Everyday Cash Back Mastercard_4,,39,Cashback rewards,FALSE,FALSE,Cashback
Ally Bank,Ally Unlimited Cash Back Mastercard_1,,,Cashback rewards,FALSE,FALSE,Cashback
Ally Bank,Ally Unlimited Cash Back Mastercard_2,,,Cashback rewards,FALSE,FALSE,Cashback
Altonized Community Federal Credit Union,Altonized Community Federal Credit Union VISA Card,IL,,Cashback rewards; Travel-related rewards; Other rewards,FALSE,FALSE,Cashback
America First Federal Credit Union,Visa Classic Standard Rate,,,Travel-related rewards,FALSE,FALSE,Travel
American Express National Bank,Marriott Bonvoy Bevy™ American Express® Card,,250,Travel-related rewards,FALSE,FALSE,Travel
American Express National Bank,The Charles Schwab Investor Credit Card® from American Express,,,Cashback rewards,FALSE,FALSE,Cashback
American Express National Bank,Marriott Bonvoy Brilliant® American Express® Card,,650,Travel-related rewards,FALSE,FALSE,Travel
American Express National Bank,Hilton Honors American Express Aspire Card,,550,Travel-related rewards,FALSE,FALSE,Travel
American Express National Bank,Hilton Honors American Express Surpass® Card,,150,Travel-related rewards,FALSE,FALSE,Travel
American Express National Bank,Hilton Honors American Express Card,,,Travel-related rewards,FALSE,FALSE,Travel
American Express National Bank,Delta SkyMiles® Reserve American Express Card,,650,Travel-related rewards,FALSE,FALSE,Travel
American Express National Bank,Delta SkyMiles® Platinum American Express Card,,350,Travel-related rewards,FALSE,FALSE,Travel
American Express National Bank,Delta SkyMiles® Gold American Express Card,,150,Travel-related rewards,FALSE,FALSE,Travel
American Express National Bank,Delta SkyMiles® Blue American Express Card,,,Travel-related rewards,FALSE,FALSE,Travel
American Express National Bank,Blue Cash Preferred® Card,,95,Cashback rewards,FALSE,FALSE,Cashback
American Express National Bank,Blue Cash Everyday® Card,,,Cashback rewards,FALSE,FALSE,Cashback
American Express National Bank,Centurion® Card from American Express,,5000,Other rewards,FALSE,FALSE,General
American Express National Bank,The Platinum Card® from American Express for Charles Schwab,,695,Other rewards,FALSE,FALSE,General
American Express National Bank,The Platinum Card® from American Express for Goldman Sachs,,695,Other rewards,FALSE,FALSE,General
American Express National Bank,The Platinum Card® from American Express exclusively for Morgan Stanley,,695,Other rewards,FALSE,FALSE,General
American Express National Bank,The Platinum Card®,,695,Other rewards,FALSE,FALSE,General
American Express National Bank,American Express® Gold Card,,325,Other rewards,FALSE,FALSE,General
American Express National Bank,American Express® Green Card,,150,Other rewards,FALSE,FALSE,General
American Express National Bank,Morgan Stanley Blue Cash Preferred® American Express Card,,95,Cashback rewards,FALSE,FALSE,Cashback
Apl Federal Credit Union,APL FCU VISA CLASSIC CARD,MD,,,FALSE,FALSE,General
Arizona Financial Credit Union,Visa Platinum Rewards,,,Other rewards,FALSE,FALSE,General
Arizona Financial Credit Union,Visa Platinum Rewards,,,Other rewards,FALSE,FALSE,General
Arkansas Best Federal Credit Union,ABFCU Classic Credit cards,,,,FALSE,FALSE,General
Associated Healthcare Credit Union,Signature Rewards,MN,,Cashback rewards; Travel-related rewards; Other rewards,FALSE,FALSE,Cashback
Associated Healthcare Credit Union,Premier,,,,FALSE,FALSE,General
Avadian Credit Union,Signature Visa,AL,,Cashback rewards; Travel-related rewards; Other rewards,FALSE,FALSE,Cashback
Avadian Credit Union,Visa Traditional Rewards,AL,,Cashback rewards; Travel-related rewards; Other rewards,FALSE,FALSE,Cashback
Avadian Credit Union,Secured Visa,AL,,,FALSE,FALSE,General
Bangor Savings Bank,everblue,,,,FALSE,FALSE,General
"Bank Of America, National Association",Bank of America Customized Cash Rewards,,,Cashback rewards; Other rewards,FALSE,FALSE,Cashback
"Bank Of America, National Association",Bank of America Unlimited Cash Rewards,,,Cashback rewards; Other rewards,FALSE,FALSE,Cashback
"Bank Of America, National Association",BankAmericard,,,,FALSE,FALSE,General
